AcquisitionYear,Business,ParentCompany,Category
2018,GIF image search,Google,Internet_Search
2014,"Headphones, music streaming (Beats Music)",Apple,Computing_platform
2014,Mobile video,Google,Internet_Search
2014,IM client,Google,Internet_Search
2014,Secure Server Technology,Facebook,SNS
2014,Cloud Security,IBM,Computing_platform
2014,Publisher Monetization Platform,Facebook,SNS
2014,"Artificial intelligence, image recognition",Google,Internet_Search
2014,Mechanical design,Google,Internet_Search
2014,Cloud-based visual effects software,Google,Internet_Search
2014,Sound Studio,Facebook,SNS
2014,Advertising,Yahoo,Internet_Search
2014,Liftware,Google,Internet_Search
2014,Social polling,Google,Internet_Search
2014,Messaging App,Yahoo,Internet_Search
2014,Data synchronization,Google,Internet_Search
2014,Home automation,Google,Internet_Search
2014,Online Video Advertising,Yahoo,Internet_Search
2014,Mobile software prototyping,Google,Internet_Search
2014,Photo Viewing,Yahoo,Internet_Search
2014,Mobile Email Apps,Microsoft,Computing_platform
2017,Single sign-on and identity management,Google,Internet_Search
2014,Video editing,Google,Internet_Search
2015,Speech recognition,Facebook,SNS
2015,Video Compression,Facebook,SNS
2015,Statistical computing and predictive analytics,Microsoft,Computing_platform
2015,Sunrise Calendar applications,Microsoft,Computing_platform
2015,Child-friendly apps,Google,Internet_Search
2015,Multimedia sharing and storage,Google,Internet_Search
2015,Mobile payments,Google,Internet_Search
2015,App advertising and discovery,Google,Internet_Search
2015,"Natural language processing, big data",IBM,Computing_platform
2015,Ecommerce,Facebook,SNS
2015,Database,Apple,Computing_platform
2015,PowerPoint collaboration,Microsoft,Computing_platform
2015,"Web Search Engine, Cognitive Computing",IBM,Computing_platform
2015,GPS,Apple,Computing_platform
2015,Health management software,IBM,Computing_platform
2015,Healthcare analytics,IBM,Computing_platform
2015,Virtual reality software,Google,Internet_Search
2017,Messaging assistant,Apple,Computing_platform
2015,Mobile software,Google,Internet_Search
2015,Mobile app optimizer,Google,Internet_Search
2015,Private Cloud as a Service,IBM,Computing_platform
2015,Application management,Microsoft,Computing_platform
2015,Machine Learning,Twitter,SNS
2017,Virtual reality,Microsoft,Computing_platform
2015,Mobile application streaming,Google,Internet_Search
2015,Enterprise Field Service,Microsoft,Computing_platform
2015,Mobile software prototyping,Google,Internet_Search
2015,Database as a Service,IBM,Computing_platform
2015,Clothing E-commerce website,Yahoo,Internet_Search
2015,Sales-gamification,Microsoft,Computing_platform
2015,Healthcare imaging software,IBM,Computing_platform
2015,"Machine learning, Image recognition",Apple,Computing_platform
2015,Mapping visualization and data collection,Apple,Computing_platform
2015,Organisational analytics,Microsoft,Computing_platform
2015,Mobile API capabilities,IBM,Computing_platform
2015,Mobile lock screen software,Microsoft,Computing_platform
2015,E-book subscriptions,Google,Internet_Search
2015,Consulting services for Workday applications,IBM,Computing_platform
2015,Rich Communication Services,Google,Internet_Search
2017,AMP converter,Google,Internet_Search
2015,Rural communications,Facebook,SNS
2015,Push Notification Services,Twitter,SNS
2015,"Weather data sources and analytics, related online and mobile products",IBM,Computing_platform
2015,Cloud brokerage software and cloud management,IBM,Computing_platform
2015,"MileIQ, a mileage tracking application",Microsoft,Computing_platform
2015,Object-based storage software,IBM,Computing_platform
2017,Podcasts,Google,Internet_Search
2018,Conversational AI,Microsoft,Computing_platform
2018,Version Control Hosting,Microsoft,Computing_platform
